"unique_id","survey_id","country","incentive","participation_context","duration","start_date","end_date","university","eligibility_ug","eligibility_stats","degree_level_maths","degree_level_maths_specify","degree_year","age","gender","math_edu_grade","math_edu_grade_sat","math_edu_grade_act","math_edu_grade_gcse","math_edu_grade_a_level","math_edu_mths","stats_edu_grade","stats_edu_grade_edited","stats_edu_first_module","stats_edu_module_1","stats_edu_grade_1","stats_edu_grade_2","all_stats_modules","is_university","is_stats_module","average_overall_grade","is_stats_module_code","mod_start_date","mod_end_date","software_excel","software_jamovi","software_jasp","software_r","software_sas","software_spss_amos","software_spss_stats","software_none","software_other","software_specify","freq_or_bayes","topic_covariates","topic_algebra","topic_anova","topic_bayes_factors","topic_bayes_theorem","topic_bootstrapping","topic_calculus","topic_casual_inference","topic_causality","topic_conf_ints","topic_correlation","topic_data_wrangling","topic_data_vis","topic_distributions","topic_descriptive_stats","topic_effect_sizes","topic_exp_design","topic_factor_analysis","topic_moderation","topic_linear_models","topic_logistic_reg","topic_mediation","topic_meta_analysis","topic_assumptions","topic_multi_comparisons","topic_multi_regression","topic_non_para","topic_nhst","topic_ols","topic_open_science","topic_philosophy","topic_probability","topic_psychometrics","topic_qual","topic_reliability","topic_regression","topic_rep_crisis","topic_report_writing","topic_robust_tests","topic_power","topic_software","topic_ttest","STARS_TestAnxiety","STARS_InterpretationAnxiety","STARS_HelpAnxiety","STARS_Total","STICSA_Cognitive","STICSA_Somatic","STICSA_Total","RTAS_Worry","RTAS_Tension","RTAS_TestIrrelevantThinking","RTAS_BodilySymptoms","RTAS_Total","BFNE_Total","LSAS_SocialInteraction","LSAS_Performance","LSAS_Total","IUS_Prospective","IUS_Inhibitory","IUS_Total","CAS_creativity","CAS_noncreativity","NGSE_Mean","ATMS_Persistence_Total"
"9acf8bc8","bournemouth","England","Credits",NA,1465,"17/03/2021","17/03/2021","Bournemouth University","Yes","Yes","No",NA,"4th Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","C",NA,"Not Administered","Not Administered","Not Administered","No","Research Methods and Statistics 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,33,14,70,32,26,58,17,21,13,16,67,38,23,32,55,19,15,34,29,18,2.5,27
"9afff073","bournemouth","England","Credits",NA,1745,"8/3/2021","8/3/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","6",NA,"Not Administered","Not Administered","Not Administered","No","EMSA","77.5","80.07","Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,38,12,75,27,22,49,15,16,8,17,56,18,30,40,70,12,9,21,17,17,4,21
"9c628c0b","bournemouth","England","Credits",NA,2264,"11/3/2021","11/3/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","5",NA,"Not Administered","Not Administered","Not Administered","No","Experimental methods and statistical analysis",NA,NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",35,18,19,72,23,17,40,18,20,11,12,61,39,38,43,81,18,19,37,32,20,2.125,17
"9d28cba2","bournemouth","England","Credits",NA,5395,"25/02/2021","25/02/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","5",NA,"Not Administered","Not Administered","Not Administered","No","Experimental Methods and statistical Analyses","67.33",NA,"Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,24,13,70,31,11,42,17,16,10,10,53,34,30,31,61,25,21,46,36,11,2.75,30
"9f74bb01","bournemouth","England","Credits",NA,1692,"6/3/2021","6/3/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","7","C","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,23,15,62,23,18,41,23,19,19,13,74,14,21,22,43,14,7,21,8,15,5,30
"a02516c9","bournemouth","England","Credits",NA,1067,"18/02/2021","18/02/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","5/C",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",29,37,12,78,27,30,57,24,21,11,21,77,31,28,32,60,9,22,31,29,21,3.5,27
"a04d1bf1","bournemouth","England","Credits",NA,2766,"16/03/2021","16/03/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","C",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,44,19,100,29,23,52,20,17,10,10,57,25,16,24,40,23,21,44,21,34,3.875,27
"a11a2cac","bournemouth","England","Credits",NA,1700,"25/02/2021","25/02/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered",NA,NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",34,39,18,91,36,29,65,23,23,14,23,83,35,31,39,70,23,24,47,26,17,2.875,22
"a1f3f298","bournemouth","England","Credits",NA,1957,"27/02/2021","27/02/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","22-25","Female/Woman","Not Administered","Not Administered","Not Administered",NA,NA,"Not Administered","Not Administered","Not Administered","No","Experimental and statistical Analysis","64","54.33","Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,28,12,64,14,11,25,8,10,5,12,35,22,16,17,33,15,15,30,11,23,4.25,27
"a2311c27","bournemouth","England","Credits",NA,1662,"26/02/2021","26/02/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","6",NA,"Not Administered","Not Administered","Not Administered","No",NA,NA,NA,"Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,37,16,86,17,23,40,22,20,14,19,75,16,19,24,43,18,16,34,17,24,4,21
"a3aa4750","bournemouth","England","Credits",NA,1233,"6/3/2021","6/3/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Male/Man","Not Administered","Not Administered","Not Administered","7","B","Not Administered","Not Administered","Not Administered","No","emsa","73.3",NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",17,26,8,51,22,20,42,14,10,11,8,43,23,26,26,52,13,14,27,18,13,3.875,32
"a3b89d2b","bournemouth","England","Credits",NA,1283,"24/02/2021","24/02/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","22-25","Female/Woman","Not Administered","Not Administered","Not Administered","C",NA,"Not Administered","Not Administered","Not Administered","No","Research Methods and Statistics",NA,NA,"Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,16,6,34,17,11,28,8,6,6,7,27,9,11,20,31,10,6,16,9,12,4.75,18
"a47149cc","bournemouth","England","Credits",NA,1016,"7/3/2021","7/3/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","4",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",39,43,12,94,37,42,79,28,24,18,27,97,34,36,44,80,20,25,45,35,35,3.5,19
"a6a9c17d","bournemouth","England","Credits",NA,881,"26/02/2021","26/02/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","6",NA,"Not Administered","Not Administered","Not Administered","No","qqrm",NA,"60","Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",33,45,18,96,10,12,22,16,13,9,15,53,33,27,34,61,10,15,25,20,20,3.625,20
"a8ffc7cf","bournemouth","England","Credits",NA,2398,"25/02/2021","25/02/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","22-25","Male/Man","Not Administered","Not Administered","Not Administered","A",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",18,29,14,61,38,24,62,18,13,13,14,58,35,23,27,50,11,13,24,19,19,2.875,18
"ab338fba","bournemouth","England","Credits",NA,1830,"15/03/2021","15/03/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","5",NA,"Not Administered","Not Administered","Not Administered","No","experimental methods and statistical analysis","82",NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",31,23,16,70,35,25,60,22,21,15,19,77,33,33,38,71,18,21,39,28,11,3.25,23
"abc10085","bournemouth","England","Credits",NA,2266,"26/02/2021","26/02/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Male/Man","Not Administered","Not Administered","Not Administered","c",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",32,39,12,83,14,13,27,18,13,8,8,47,13,16,26,42,15,12,27,15,16,4.375,27
"abd556f3","bournemouth","England","Credits",NA,2309,"7/3/2021","7/3/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","7","D","Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",33,28,20,81,28,16,44,25,17,17,21,80,28,31,33,64,27,17,44,22,20,2.25,21
"acf1bd4b","bournemouth","England","Credits",NA,1803,"25/02/2021","25/02/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","5",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,32,11,77,13,12,25,24,22,10,19,75,11,28,33,61,27,20,47,25,27,3.75,32
"ad73fa9d","bournemouth","England","Credits",NA,2851,"4/3/2021","4/3/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","26+","Female/Woman","Not Administered","Not Administered","Not Administered","c",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",15,20,4,39,20,11,31,10,12,5,11,38,14,20,25,45,23,15,38,22,15,4,28
"ad9c7360","bournemouth","England","Credits",NA,2403,"8/3/2021","8/3/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","4(PASS)",NA,"Not Administered","Not Administered","Not Administered","No","Experimental methods and statistical analysis","62",NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",25,24,11,60,29,19,48,15,12,11,14,52,18,21,29,50,19,19,38,18,20,3.75,17
"af389c35","bournemouth","England","Credits",NA,1146,"25/02/2021","25/02/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","5",NA,"Not Administered","Not Administered","Not Administered","No","Research Methods 1",NA,NA,"Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,26,8,58,29,28,57,26,21,13,18,78,30,28,34,62,19,19,38,26,20,3.625,28
"af53f85b","bournemouth","England","Credits",NA,2389,"25/02/2021","25/02/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","4",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,39,18,90,12,11,23,11,14,6,7,38,11,29,33,62,8,9,17,9,22,4.625,21
"afc93d5b","bournemouth","England","Credits",NA,1599,"16/03/2021","16/03/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","5",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",27,20,7,54,18,18,36,27,21,14,17,79,17,19,22,41,25,23,48,16,11,3.5,25
"aff16fdc","bournemouth","England","Credits",NA,2377,"2/3/2021","2/3/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","5",NA,"Not Administered","Not Administered","Not Administered","No","research methods and Statistics level 4",NA,NA,"Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,32,14,82,18,15,33,23,21,16,28,88,25,32,43,75,30,30,60,33,10,3,20
"b68f297a","bournemouth","England","Credits",NA,1475,"7/3/2021","7/3/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","4",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",31,28,10,69,35,25,60,21,21,15,16,73,34,32,39,71,20,18,38,20,27,3.75,17
"b839da53","bournemouth","England","Credits",NA,1484,"10/3/2021","10/3/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","A","E","Not Administered","Not Administered","Not Administered","No","EMSA","67","69","Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,19,13,66,35,30,65,18,21,8,26,73,36,32,35,67,21,20,41,25,14,2.25,28
"ba2f6810","bournemouth","England","Credits",NA,1940,"25/02/2021","25/02/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","18-21","Male/Man","Not Administered","Not Administered","Not Administered","5",NA,"Not Administered","Not Administered","Not Administered","No","experimental methods and statistical analysis 19/20",NA,NA,"Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,27,12,62,19,13,32,12,10,6,8,36,15,19,26,45,13,12,25,23,17,2.875,24
"ba5ca74a","bournemouth","England","Credits",NA,2783,"1/3/2021","1/3/2021","Bournemouth University","Yes","Yes","No",NA,"2nd Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","A",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Statistics and Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,4,58,19,17,36,13,18,10,13,54,12,16,27,43,14,10,24,15,15,4.75,27
"bbdd1fcc","bournemouth","England","Credits",NA,2929,"26/02/2021","26/02/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","C",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",40,37,18,95,37,42,79,28,24,15,27,94,35,41,42,83,28,30,58,37,34,2.125,14
"bc0fb4f4","bournemouth","England","Credits",NA,1569,"24/02/2021","24/02/2021","Bournemouth University","Yes","Yes","No",NA,"1st Year","18-21","Female/Woman","Not Administered","Not Administered","Not Administered","B",NA,"Not Administered","Not Administered","Not Administered","Yes",NA,NA,NA,"Experimental Methods and Statistical Analysis","Bournemouth University","Experimental methods and statistical analysis","57","EMSA","25/09/2020","5/12/2020","Excel",NA,"JASP","R/RStudio",NA,NA,NA,NA,NA,NA,"Frequentist",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Confidence intervals","Correlation","Data cleaning/wrangling","Data visualisation","Distributions","Descriptive statistics","Effect size","Experimental design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probability",NA,NA,NA,"Regression",NA,"Report writing",NA,NA,"Statistical software","T-test",24,15,8,47,21,22,43,17,13,9,13,52,16,20,22,42,11,10,21,27,10,3.375,26
